Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,16.6402,16.1804,15.7206,15.2608,14.801,14.4212,14.0414,13.6616,13.2818,..
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.34176520769526,2.2950770164873,2.20117483232352,2.28041060118694,2.25875200427579,2.28250934556895,2.22004842784952,2.37269674923708,2.4305798250667,2.76664592266362
Australia,AUS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,3.14024390243902,..,3.14024390243902,..,..,..
Australia,AUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.1,99.1,99.1,99.1,..,99.3,99.7,99.7,..,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,18.1608756564953,18.2001819589981,17.7408450531619,17.5388777559057,17.0661408224039,16.0834743914268,15.3701377604233,..,..,..
Australia,AUS,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,62,..,..,67.8,..,..,..,66.9,..
Australia,AUS,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,159.631476515448,151.012279128051,154.042992352495,151.418032134396,150.157939101233,155.533074208247,164.710899500516,175.977102148284,182.772402132277,177.139775706474
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,10749.1105547503,10791.5930978208,10726.9281831902,10627.2938650379,10403.6170205749,10213.039449188,10059.2074467909,..,..,..
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5964.66577565273,5862.55194383105,5793.11602573559,5745.23218954465,5573.07830392251,5464.19260153234,5328.22399187752,5475.81765027095,..,..
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.1886986630513,23.0385074489272,19.842519200141,21.4728411936199,21.5189738107964,19.9877174384992,21.0757650196519,20.0129640731119,19.2530266256288,21.2703536282629
Australia,AUS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.984,1.971,1.928,1.926,1.917,1.851,1.821,1.809,1.809,..
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,45160024270.9395,28683266147.8801,35210733743.0829,65554890649.5348,57550426822.6138,53997299139.8889,45978797620.4125,37419460118.1951,39968343167.8453,45100492713.4031
Australia,AUS,Forest area (sq. km),AG.LND.FRST.K2,1249830,1240970,1232110,1235190,1238270,1241350,1244430,1247510,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1052584601611.46,926448240318.068,1144260547872.81,1394280784777.68,1543411012579.91,1573696522006.77,1464955475993.76,1349034029453.37,1208039015868.39,1323421072479.07
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.65776675972091,1.92272729288334,2.05294200395332,2.45110508268402,3.89194002647891,2.63948235705639,2.55833752286902,2.35113644074406,2.82731051096303,1.95757542160659
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,42270,43980,46550,50230,60060,65870,64980,60360,54130,51360
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,35880,38820,37750,40210,41430,44650,45520,45270,45110,47160
Australia,AUS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,898262395854.323,954018898764.987,1025588139223.14,1122142962074.18,1365992022596.1,1524643903717.47,1527263304541.28,1439534849132.93,1310546571338.37,1263489389657.72
